sent_id,item_id,verb,sentence_type,np_order,target,option,alt_option,prompt,alt_prompt,answer_option,answer,raw_probs
37,19,congratulate,IC,high_pl,Tracy congratulated the bodyguards of the celebrity who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Tracy congratulated the bodyguards of the celebrity who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Tracy congratulated the bodyguards of the celebrity who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-6.704273e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-6.704273e-07), TopLogprob(token='2', bytes=[50], logprob=-14.913867), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.154384), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.33546), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.636616)])]"
38,19,chat,nonIC,high_pl,Tracy chatted with the bodyguards of the celebrity who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Tracy chatted with the bodyguards of the celebrity who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Tracy chatted with the bodyguards of the celebrity who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-5.2001665e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-5.2001665e-06), TopLogprob(token='2', bytes=[50], logprob=-12.197225), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.794902), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-17.8351), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.86371)])]"
39,20,mock,IC,high_pl,Kevin mocked the fans of the singer who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Kevin mocked the fans of the singer who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Kevin mocked the fans of the singer who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-3.1281633e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-3.1281633e-07), TopLogprob(token='2', bytes=[50], logprob=-15.887856), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.24418), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.072365), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.398764)])]"
40,20,count,nonIC,high_pl,Kevin counted the fans of the singer who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Kevin counted the fans of the singer who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Kevin counted the fans of the singer who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-7.89631e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-7.89631e-07), TopLogprob(token='2', bytes=[50], logprob=-14.569234), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.267571), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.155376), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-19.22862)])]"
41,21,scold,IC,high_sg,Alice scolded the coordinator of the participants who ___. ,"1) was, 2) were","1) were, 2) was","Sentence: Alice scolded the coordinator of the participants who ___.  Options: 1) was, 2) were. Answer: ","Sentence: Alice scolded the coordinator of the participants who ___.  Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-4.246537e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-4.246537e-06), TopLogprob(token='2', bytes=[50], logprob=-12.422785), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.190922), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.966434), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-19.464428)])]"
42,21,joke,nonIC,high_sg,Alice joked with the coordinator of the participants who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Alice joked with the coordinator of the participants who ___. Options: 1) was, 2) were. Answer: ","Sentence: Alice joked with the coordinator of the participants who ___. Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.0280384e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.0280384e-06), TopLogprob(token='2', bytes=[50], logprob=-14.144544), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.070304), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.375776), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.653753)])]"
43,22,stare,IC,high_sg,Charles stared at the patron of the artists who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Charles stared at the patron of the artists who ___. Options: 1) was, 2) were. Answer: ","Sentence: Charles stared at the patron of the artists who ___. Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.000582819, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.000582819), TopLogprob(token='2', bytes=[50], logprob=-7.4480658), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.615007), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-19.610262), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-20.042446)])]"
44,22,study,nonIC,high_sg,Charles studied with the patron of the artists who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Charles studied with the patron of the artists who ___. Options: 1) was, 2) were. Answer: ","Sentence: Charles studied with the patron of the artists who ___. Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.1756368e-05, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.1756368e-05), TopLogprob(token='2', bytes=[50], logprob=-11.37038), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.574123), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-19.10492), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-19.121716)])]"
45,23,assist,IC,high_sg,Ben assisted the coach of the players who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Ben assisted the coach of the players who ___. Options: 1) was, 2) were. Answer: ","Sentence: Ben assisted the coach of the players who ___. Options: 1) were, 2) was. Answer: ","1) was, 2) were",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.06235786, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.06235786), TopLogprob(token='1', bytes=[49], logprob=-2.8058882), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.9561205), TopLogprob(token='Both', bytes=[66, 111, 116, 104], logprob=-19.198195), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-19.891586)])]"
46,23,stand,nonIC,high_sg,Ben stood next to the coach of the players who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Ben stood next to the coach of the players who ___. Options: 1) was, 2) were. Answer: ","Sentence: Ben stood next to the coach of the players who ___. Options: 1) were, 2) was. Answer: ","1) was, 2) were",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0047283303, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0047283303), TopLogprob(token='1', bytes=[49], logprob=-5.3565845), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.682217), TopLogprob(token='(', bytes=[40], logprob=-18.469276), TopLogprob(token='Two', bytes=[84, 119, 111], logprob=-18.983143)])]"
47,24,trust,IC,high_sg,Bob trusted the physician of the patients who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Bob trusted the physician of the patients who ___. Options: 1) was, 2) were. Answer: ","Sentence: Bob trusted the physician of the patients who ___. Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-9.0883464e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-9.0883464e-07), TopLogprob(token='2', bytes=[50], logprob=-14.179791), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.178062), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.990387), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-18.44834)])]"
48,24,live,nonIC,high_sg,Bob lived next to the physician of the patients who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Bob lived next to the physician of the patients who ___. Options: 1) was, 2) were. Answer: ","Sentence: Bob lived next to the physician of the patients who ___. Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-4.3202e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-4.3202e-07), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.336014), TopLogprob(token='2', bytes=[50], logprob=-16.151926), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-16.766113), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.51145)])]"
49,25,correct,IC,high_sg,Rachel corrected the agent of the celebrities who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Rachel corrected the agent of the celebrities who ___. Options: 1) was, 2) were. Answer: ","Sentence: Rachel corrected the agent of the celebrities who ___. Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.7432603e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.7432603e-06), TopLogprob(token='2', bytes=[50], logprob=-13.45245), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.394142), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-16.735437), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.083754)])]"
50,25,run,nonIC,high_sg,Rachel ran into the agent of the celebrities who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Rachel ran into the agent of the celebrities who ___. Options: 1) was, 2) were. Answer: ","Sentence: Rachel ran into the agent of the celebrities who ___. Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-2.1008714e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-2.1008714e-06), TopLogprob(token='2', bytes=[50], logprob=-13.255194), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.4967), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.283663), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.394693)])]"
51,26,thank,IC,high_sg,James thanked the analyst of the vendors who ___.,"1) was, 2) were","1) were, 2) was","Sentence: James thanked the analyst of the vendors who ___. Options: 1) was, 2) were. Answer: ","Sentence: James thanked the analyst of the vendors who ___. Options: 1) were, 2) was. Answer: ","1) was, 2) were",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.02808062, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.02808062), TopLogprob(token='1', bytes=[49], logprob=-3.5866973), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.803613), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-18.039953), TopLogprob(token='(', bytes=[40], logprob=-18.66858)])]"
52,26,chat,nonIC,high_sg,James chatted with the analyst of the vendors who ___.,"1) was, 2) were","1) were, 2) was","Sentence: James chatted with the analyst of the vendors who ___. Options: 1) was, 2) were. Answer: ","Sentence: James chatted with the analyst of the vendors who ___. Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-2.3392786e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-2.3392786e-06), TopLogprob(token='2', bytes=[50], logprob=-13.265207), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.135431), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-15.972769), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.419512)])]"
53,27,envy,IC,high_sg,Zoey envies the representative of the voters who ___.,"1) is, 2) are","1) are, 2) is","Sentence: Zoey envies the representative of the voters who ___. Options: 1) is, 2) are. Answer: ","Sentence: Zoey envies the representative of the voters who ___. Options: 1) are, 2) is. Answer: ","1) is, 2) are",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-3.1281633e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-3.1281633e-07), TopLogprob(token='2', bytes=[50], logprob=-15.54525), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.463749), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.177694), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.190802)])]"
54,27,resemble,nonIC,high_sg,Zoey resembles the representative of the voters who ___.,"1) is, 2) are","1) are, 2) is","Sentence: Zoey resembles the representative of the voters who ___. Options: 1) is, 2) are. Answer: ","Sentence: Zoey resembles the representative of the voters who ___. Options: 1) are, 2) is. Answer: ","1) are, 2) is",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-2.3795938e-05, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-2.3795938e-05), TopLogprob(token='2', bytes=[50], logprob=-10.6570215), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.142764), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.350138), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.491774)])]"
55,28,value,IC,high_sg,Stephen values the accountant of the investors who ___.,"1) is, 2) are","1) are, 2) is","Sentence: Stephen values the accountant of the investors who ___. Options: 1) is, 2) are. Answer: ","Sentence: Stephen values the accountant of the investors who ___. Options: 1) are, 2) is. Answer: ","1) are, 2) is",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.147242e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.147242e-06), TopLogprob(token='2', bytes=[50], logprob=-13.856751), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.89545), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.220858), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-19.289927)])]"
56,28,meet,nonIC,high_sg,Stephen met the accountant of the investors who ___.,"1) is, 2) are","1) are, 2) is","Sentence: Stephen met the accountant of the investors who ___. Options: 1) is, 2) are. Answer: ","Sentence: Stephen met the accountant of the investors who ___. Options: 1) are, 2) is. Answer: ","1) are, 2) is",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-3.1281633e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-3.1281633e-07), TopLogprob(token='2', bytes=[50], logprob=-15.835171), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.962921), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.920002), TopLogprob(token=' ', bytes=[32], logprob=-18.82094)])]"
57,29,fear,IC,high_sg,Liz fears the lawyer of the actors who ___.,"1) is, 2) are","1) are, 2) is","Sentence: Liz fears the lawyer of the actors who ___. Options: 1) is, 2) are. Answer: ","Sentence: Liz fears the lawyer of the actors who ___. Options: 1) are, 2) is. Answer: ","1) is, 2) are",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-5.383526e-05, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-5.383526e-05), TopLogprob(token='1', bytes=[49], logprob=-9.856571), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-13.624527), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-16.894943), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.564808)])]"
58,29,recognize,nonIC,high_sg,Liz recognizes the lawyer of the actors who ___.,"1) is, 2) are","1) are, 2) is","Sentence: Liz recognizes the lawyer of the actors who ___. Options: 1) is, 2) are. Answer: ","Sentence: Liz recognizes the lawyer of the actors who ___. Options: 1) are, 2) is. Answer: ","1) are, 2) is",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-5.5122365e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-5.5122365e-07), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.124364), TopLogprob(token='2', bytes=[50], logprob=-16.098042), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-16.940678), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-18.228647)])]"
59,30,notice,IC,high_sg,Jan noticed the son of the scientists who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Jan noticed the son of the scientists who ___. Options: 1) was, 2) were. Answer: ","Sentence: Jan noticed the son of the scientists who ___. Options: 1) were, 2) was. Answer: ","1) was, 2) were",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.35971433, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.35971433), TopLogprob(token='1', bytes=[49], logprob=-1.1969182), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.577141), TopLogprob(token='(', bytes=[40], logprob=-18.184488), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-18.442528)])]"
60,30,jog,nonIC,high_sg,Jan jogged with the son of the scientists who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Jan jogged with the son of the scientists who ___. Options: 1) was, 2) were. Answer: ","Sentence: Jan jogged with the son of the scientists who ___. Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-6.704273e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-6.704273e-07), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.890481), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-16.034315), TopLogprob(token='2', bytes=[50], logprob=-16.158154), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.287325)])]"
61,31,praise,IC,high_pl,Luke praised the tenants of the landlord who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Luke praised the tenants of the landlord who ___. Options: 1) was, 2) were. Answer: ","Sentence: Luke praised the tenants of the landlord who ___. Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.00049322186, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.00049322186), TopLogprob(token='2', bytes=[50], logprob=-7.6150064), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.843466), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-19.434576), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-19.495703)])]"
62,31,carpool,nonIC,high_pl,Luke carpooled with the tenants of the landlord who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Luke carpooled with the tenants of the landlord who ___. Options: 1) was, 2) were. Answer: ","Sentence: Luke carpooled with the tenants of the landlord who ___. Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-9.0883464e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-9.0883464e-07), TopLogprob(token='2', bytes=[50], logprob=-14.218732), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.783763), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.099316), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.455988)])]"
63,32,hate,IC,high_pl,Karen hates the followers of the leader who ___.,"1) is, 2) are","1) are, 2) is","Sentence: Karen hates the followers of the leader who ___. Options: 1) is, 2) are. Answer: ","Sentence: Karen hates the followers of the leader who ___. Options: 1) are, 2) is. Answer: ","1) are, 2) is",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-4.3202e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-4.3202e-07), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.290142), TopLogprob(token='2', bytes=[50], logprob=-16.406824), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.269543), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.990961)])]"
64,32,know,nonIC,high_pl,Karen knows the follwers of the leader who ___.,"1) is, 2) are","1) are, 2) is","Sentence: Karen knows the follwers of the leader who ___. Options: 1) is, 2) are. Answer: ","Sentence: Karen knows the follwers of the leader who ___. Options: 1) are, 2) is. Answer: ","1) is, 2) are",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.9361265e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.9361265e-07), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.687206), TopLogprob(token='2', bytes=[50], logprob=-16.760574), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.691513), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.848066)])]"
65,33,blame,IC,high_pl,Jack blamed the trainees of the craftsman who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Jack blamed the trainees of the craftsman who ___. Options: 1) was, 2) were. Answer: ","Sentence: Jack blamed the trainees of the craftsman who ___. Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.0012861869, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.0012861869), TopLogprob(token='2', bytes=[50], logprob=-6.656876), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.23839), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-20.047829), TopLogprob(token='(', bytes=[40], logprob=-20.341526)])]"
66,33,gossip,nonIC,high_pl,Jack gossiped with the trainees of the craftsman who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Jack gossiped with the trainees of the craftsman who ___. Options: 1) was, 2) were. Answer: ","Sentence: Jack gossiped with the trainees of the craftsman who ___. Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.0280384e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.0280384e-06), TopLogprob(token='2', bytes=[50], logprob=-14.016627), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.600957), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.234537), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.405554)])]"
67,34,help,IC,high_pl,Sophia helped the students of the professor who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Sophia helped the students of the professor who ___. Options: 1) was, 2) were. Answer: ","Sentence: Sophia helped the students of the professor who ___. Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-4.3202e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-4.3202e-07), TopLogprob(token='2', bytes=[50], logprob=-15.222813), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.12224), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.565807), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.912243)])]"
68,34,wait,nonIC,high_pl,Sophia waited with the students of the professor who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Sophia waited with the students of the professor who ___. Options: 1) was, 2) were. Answer: ","Sentence: Sophia waited with the students of the professor who ___. Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.00039742238, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.00039742238), TopLogprob(token='2', bytes=[50], logprob=-7.831101), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.721272), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.966087), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.47098)])]"
69,35,reproach,IC,high_pl,Noah reproached the assistants of the technician who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Noah reproached the assistants of the technician who ___. Options: 1) was, 2) were. Answer: ","Sentence: Noah reproached the assistants of the technician who ___. Options: 1) were, 2) was. Answer: ","1) was, 2) were",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0961366, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0961366), TopLogprob(token='1', bytes=[49], logprob=-2.38967), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.281282), TopLogprob(token='(', bytes=[40], logprob=-18.779417), TopLogprob(token=' ', bytes=[32], logprob=-18.939507)])]"
70,35,visit,nonIC,high_pl,Noah visited the assistants of the technician who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Noah visited the assistants of the technician who ___. Options: 1) was, 2) were. Answer: ","Sentence: Noah visited the assistants of the technician who ___. Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-7.89631e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-7.89631e-07), TopLogprob(token='2', bytes=[50], logprob=-14.540872), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.322679), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-16.856083), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-18.371109)])]"
71,36,pacify,IC,high_pl,Charlotte pacified the patients of the therapist who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Charlotte pacified the patients of the therapist who ___. Options: 1) was, 2) were. Answer: ","Sentence: Charlotte pacified the patients of the therapist who ___. Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-3.1281633e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-3.1281633e-07), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.994038), TopLogprob(token='2', bytes=[50], logprob=-16.268167), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.508049), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.52673)])]"
72,36,greet,nonIC,high_pl,Charlotte greeted the patients of the therapist who ___.,"1) was, 2) were","1) were, 2) was","Sentence: Charlotte greeted the patients of the therapist who ___. Options: 1) was, 2) were. Answer: ","Sentence: Charlotte greeted the patients of the therapist who ___. Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-4.3202e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-4.3202e-07), TopLogprob(token='2', bytes=[50], logprob=-15.031818), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.04086), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.636711), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.660004)])]"
