sent_id,item_id,verb,sentence_type,attachment,plurality,sentence,critical_token,critical_prob,logprob
71,18,thank,IC,low,sg,Frank thanked the servants of the dictator who is, is,-6.347220420837402,"[('Frank', -9.279504776000977), (' thanked', -13.882749557495117), (' the', -1.9818607568740845), (' servants', -10.080618858337402), (' of', -2.0465750694274902), (' the', -0.8136770725250244), (' dictator', -11.273590087890625), (' who', -2.737037181854248), (' is', -6.347220420837402)]"
72,18,talk,nonIC,low,sg,Frank talked to the servants of the dictator who is, is,-3.5178639888763428,"[('Frank', -9.279504776000977), (' talked', -11.005807876586914), (' to', -1.610378384590149), (' the', -2.248237133026123), (' servants', -9.808380126953125), (' of', -2.5618109703063965), (' the', -0.6521943807601929), (' dictator', -10.222704887390137), (' who', -3.1320548057556152), (' is', -3.5178639888763428)]"
73,19,congratulate,IC,high,pl,Tracy congratulated the bodyguards of the celebrity who were, were,-2.820939302444458,"[('Tr', -7.847567081451416), ('acy', -3.690610885620117), (' congrat', -14.560342788696289), ('ulated', -2.1030924320220947), (' the', -1.788408875465393), (' body', -9.76017951965332), ('guards', -4.866660118103027), (' of', -2.2607898712158203), (' the', -1.2919743061065674), (' celebrity', -8.070013999938965), (' who', -2.8898205757141113), (' were', -2.820939302444458)]"
74,19,chat,nonIC,high,pl,Tracy chatted with the bodyguards of the celebrity who were, were,-3.335036039352417,"[('Tr', -7.847567081451416), ('acy', -3.690610885620117), (' ch', -10.611467361450195), ('atted', -5.4389848709106445), (' with', -0.4808294475078583), (' the', -2.7259747982025146), (' body', -10.169807434082031), ('guards', -5.030511379241943), (' of', -1.4121350049972534), (' the', -1.804799199104309), (' celebrity', -5.982659339904785), (' who', -3.227357864379883), (' were', -3.335036039352417)]"
75,19,congratulate,IC,low,sg,Tracy congratulated the bodyguards of the celebrity who was, was,-1.7148239612579346,"[('Tr', -7.847567081451416), ('acy', -3.690610885620117), (' congrat', -14.560342788696289), ('ulated', -2.1030924320220947), (' the', -1.788408875465393), (' body', -9.76017951965332), ('guards', -4.866660118103027), (' of', -2.2607898712158203), (' the', -1.2919743061065674), (' celebrity', -8.070013999938965), (' who', -2.8898205757141113), (' was', -1.7148239612579346)]"
76,19,chat,nonIC,low,sg,Tracy chatted with the bodyguards of the celebrity who was, was,-2.0557029247283936,"[('Tr', -7.847567081451416), ('acy', -3.690610885620117), (' ch', -10.611467361450195), ('atted', -5.4389848709106445), (' with', -0.4808294475078583), (' the', -2.7259747982025146), (' body', -10.169807434082031), ('guards', -5.030511379241943), (' of', -1.4121350049972534), (' the', -1.804799199104309), (' celebrity', -5.982659339904785), (' who', -3.227357864379883), (' was', -2.0557029247283936)]"
77,20,mock,IC,high,pl,Kevin mocked the fans of the singer who were, were,-3.4027152061462402,"[('Kevin', -9.716629028320312), (' mocked', -16.276395797729492), (' the', -2.385930061340332), (' fans', -7.217307090759277), (' of', -2.938223123550415), (' the', -1.2522305250167847), (' singer', -9.406682014465332), (' who', -2.8944239616394043), (' were', -3.4027152061462402)]"
78,20,count,nonIC,high,pl,Kevin counted the fans of the singer who were, were,-1.8273813724517822,"[('Kevin', -9.716629028320312), (' counted', -13.41682243347168), (' the', -1.14414381980896), (' fans', -9.505304336547852), (' of', -3.92551851272583), (' the', -0.8979231715202332), (' singer', -9.982693672180176), (' who', -2.718630075454712), (' were', -1.8273813724517822)]"
79,20,mock,IC,low,sg,Kevin mocked the fans of the singer who was, was,-2.8027262687683105,"[('Kevin', -9.716629028320312), (' mocked', -16.276395797729492), (' the', -2.385930061340332), (' fans', -7.217307090759277), (' of', -2.938223123550415), (' the', -1.2522305250167847), (' singer', -9.406682014465332), (' who', -2.8944239616394043), (' was', -2.8027262687683105)]"
80,20,count,nonIC,low,sg,Kevin counted the fans of the singer who was, was,-3.6288321018218994,"[('Kevin', -9.716629028320312), (' counted', -13.41682243347168), (' the', -1.14414381980896), (' fans', -9.505304336547852), (' of', -3.92551851272583), (' the', -0.8979231715202332), (' singer', -9.982693672180176), (' who', -2.718630075454712), (' was', -3.6288321018218994)]"
81,21,scold,IC,high,sg,Alice scolded the coordinator of the participants who was, was,-3.5418996810913086,"[('Alice', -10.613445281982422), (' sc', -11.351346969604492), ('old', -5.709515571594238), ('ed', -0.02793273515999317), (' the', -2.685891628265381), (' coordinator', -12.796502113342285), (' of', -1.4939275979995728), (' the', -0.4649770259857178), (' participants', -9.93449592590332), (' who', -3.6834774017333984), (' was', -3.5418996810913086)]"
82,21,joke,nonIC,high,sg,Alice joked with the coordinator of the participants who was, was,-3.353942394256592,"[('Alice', -10.613445281982422), (' joked', -14.599781036376953), (' with', -2.31040358543396), (' the', -2.0100526809692383), (' coordinator', -11.334967613220215), (' of', -1.4335404634475708), (' the', -0.5459622740745544), (' participants', -9.351621627807617), (' who', -4.404055595397949), (' was', -3.353942394256592)]"
83,21,scold,IC,low,pl,Alice scolded the coordinator of the participants who were, were,-1.5532732009887695,"[('Alice', -10.613445281982422), (' sc', -11.351346969604492), ('old', -5.709515571594238), ('ed', -0.02793273515999317), (' the', -2.685891628265381), (' coordinator', -12.796502113342285), (' of', -1.4939275979995728), (' the', -0.4649770259857178), (' participants', -9.93449592590332), (' who', -3.6834774017333984), (' were', -1.5532732009887695)]"
84,21,joke,nonIC,low,pl,Alice joked with the coordinator of the participants who were, were,-1.4936461448669434,"[('Alice', -10.613445281982422), (' joked', -14.599781036376953), (' with', -2.31040358543396), (' the', -2.0100526809692383), (' coordinator', -11.334967613220215), (' of', -1.4335404634475708), (' the', -0.5459622740745544), (' participants', -9.351621627807617), (' who', -4.404055595397949), (' were', -1.4936461448669434)]"
85,22,stare,IC,high,sg,Charles stared at the patron of the artists who was, was,-1.8819034099578857,"[('Charles', -9.345504760742188), (' stared', -12.902749061584473), (' at', -0.5855926275253296), (' the', -0.5125191807746887), (' patron', -12.449867248535156), (' of', -3.229583978652954), (' the', -0.5020560622215271), (' artists', -6.6952972412109375), (' who', -2.9974780082702637), (' was', -1.8819034099578857)]"
86,22,study,nonIC,high,sg,Charles studied with the patron of the artists who was, was,-4.501166343688965,"[('Charles', -9.345504760742188), (' studied', -11.811674118041992), (' with', -4.8374857902526855), (' the', -2.0340380668640137), (' patron', -10.552151679992676), (' of', -1.2792147397994995), (' the', -1.1413546800613403), (' artists', -7.338379859924316), (' who', -4.659182548522949), (' was', -4.501166343688965)]"
87,22,stare,IC,low,pl,Charles stared at the patron of the artists who were, were,-3.0744121074676514,"[('Charles', -9.345504760742188), (' stared', -12.902749061584473), (' at', -0.5855926275253296), (' the', -0.5125191807746887), (' patron', -12.449867248535156), (' of', -3.229583978652954), (' the', -0.5020560622215271), (' artists', -6.6952972412109375), (' who', -2.9974780082702637), (' were', -3.0744121074676514)]"
88,22,study,nonIC,low,pl,Charles studied with the patron of the artists who were, were,-2.3626339435577393,"[('Charles', -9.345504760742188), (' studied', -11.811674118041992), (' with', -4.8374857902526855), (' the', -2.0340380668640137), (' patron', -10.552151679992676), (' of', -1.2792147397994995), (' the', -1.1413546800613403), (' artists', -7.338379859924316), (' who', -4.659182548522949), (' were', -2.3626339435577393)]"
89,23,assist,IC,high,sg,Ben assisted the coach of the players who was, was,-4.620264530181885,"[('Ben', -8.9766845703125), (' assisted', -13.362874984741211), (' the', -1.946427822113037), (' coach', -8.730569839477539), (' of', -2.9416866302490234), (' the', -0.7911404371261597), (' players', -7.960047721862793), (' who', -3.2487430572509766), (' was', -4.620264530181885)]"
90,23,stand,nonIC,high,sg,Ben stood next to the coach of the players who was, was,-4.228419780731201,"[('Ben', -8.9766845703125), (' stood', -10.88892936706543), (' next', -4.158445835113525), (' to', -0.007170182187110186), (' the', -1.1301721334457397), (' coach', -7.838500022888184), (' of', -3.998979091644287), (' the', -0.6807477474212646), (' players', -6.714906692504883), (' who', -2.559218645095825), (' was', -4.228419780731201)]"
91,23,assist,IC,low,pl,Ben assisted the coach of the players who were, were,-1.1917403936386108,"[('Ben', -8.9766845703125), (' assisted', -13.362874984741211), (' the', -1.946427822113037), (' coach', -8.730569839477539), (' of', -2.9416866302490234), (' the', -0.7911404371261597), (' players', -7.960047721862793), (' who', -3.2487430572509766), (' were', -1.1917403936386108)]"
92,23,stand,nonIC,low,pl,Ben stood next to the coach of the players who were, were,-0.9859974980354309,"[('Ben', -8.9766845703125), (' stood', -10.88892936706543), (' next', -4.158445835113525), (' to', -0.007170182187110186), (' the', -1.1301721334457397), (' coach', -7.838500022888184), (' of', -3.998979091644287), (' the', -0.6807477474212646), (' players', -6.714906692504883), (' who', -2.559218645095825), (' were', -0.9859974980354309)]"
93,24,trust,IC,high,sg,Bob trusted the physician of the patients who was, was,-3.4262137413024902,"[('Bob', -9.640697479248047), (' trusted', -16.519094467163086), (' the', -2.0917611122131348), (' physician', -8.194477081298828), (' of', -5.864934921264648), (' the', -1.352247714996338), (' patients', -7.002687454223633), (' who', -3.0780346393585205), (' was', -3.4262137413024902)]"
94,24,live,nonIC,high,sg,Bob lived next to the physician of the patients who was, was,-4.7497782707214355,"[('Bob', -9.640697479248047), (' lived', -11.390010833740234), (' next', -3.8765172958374023), (' to', -1.538191795349121), (' the', -1.6049954891204834), (' physician', -11.218366622924805), (' of', -5.355036735534668), (' the', -1.3513460159301758), (' patients', -6.247888565063477), (' who', -2.3842711448669434), (' was', -4.7497782707214355)]"
95,24,trust,IC,low,pl,Bob trusted the physician of the patients who were, were,-1.6630414724349976,"[('Bob', -9.640697479248047), (' trusted', -16.519094467163086), (' the', -2.0917611122131348), (' physician', -8.194477081298828), (' of', -5.864934921264648), (' the', -1.352247714996338), (' patients', -7.002687454223633), (' who', -3.0780346393585205), (' were', -1.6630414724349976)]"
96,24,live,nonIC,low,pl,Bob lived next to the physician of the patients who were, were,-1.4329296350479126,"[('Bob', -9.640697479248047), (' lived', -11.390010833740234), (' next', -3.8765172958374023), (' to', -1.538191795349121), (' the', -1.6049954891204834), (' physician', -11.218366622924805), (' of', -5.355036735534668), (' the', -1.3513460159301758), (' patients', -6.247888565063477), (' who', -2.3842711448669434), (' were', -1.4329296350479126)]"
97,25,correct,IC,high,sg,Rachel corrected the agent of the celebrities who was, was,-4.828502655029297,"[('Rachel', -10.505834579467773), (' corrected', -13.736075401306152), (' the', -2.082645893096924), (' agent', -10.211450576782227), (' of', -3.7448816299438477), (' the', -1.0683635473251343), (' celebrities', -13.01463508605957), (' who', -2.4075701236724854), (' was', -4.828502655029297)]"
98,25,run,nonIC,high,sg,Rachel ran into the agent of the celebrities who was, was,-4.28438138961792,"[('Rachel', -10.505834579467773), (' ran', -10.386639595031738), (' into', -3.1111135482788086), (' the', -2.0130038261413574), (' agent', -9.480709075927734), (' of', -4.232572555541992), (' the', -1.319757103919983), (' celebrities', -11.35196304321289), (' who', -1.9428027868270874), (' was', -4.28438138961792)]"
99,25,correct,IC,low,pl,Rachel corrected the agent of the celebrities who were, were,-2.4988081455230713,"[('Rachel', -10.505834579467773), (' corrected', -13.736075401306152), (' the', -2.082645893096924), (' agent', -10.211450576782227), (' of', -3.7448816299438477), (' the', -1.0683635473251343), (' celebrities', -13.01463508605957), (' who', -2.4075701236724854), (' were', -2.4988081455230713)]"
100,25,run,nonIC,low,pl,Rachel ran into the agent of the celebrities who were, were,-1.7784150838851929,"[('Rachel', -10.505834579467773), (' ran', -10.386639595031738), (' into', -3.1111135482788086), (' the', -2.0130038261413574), (' agent', -9.480709075927734), (' of', -4.232572555541992), (' the', -1.319757103919983), (' celebrities', -11.35196304321289), (' who', -1.9428027868270874), (' were', -1.7784150838851929)]"
101,26,thank,IC,high,sg,James thanked the analyst of the vendors who was, was,-3.91809344291687,"[('James', -8.642207145690918), (' thanked', -14.782702445983887), (' the', -2.1086814403533936), (' analyst', -9.773480415344238), (' of', -5.045787334442139), (' the', -0.6794437766075134), (' vendors', -12.866944313049316), (' who', -2.8684792518615723), (' was', -3.91809344291687)]"
102,26,chat,nonIC,high,sg,James chatted with the analyst of the vendors who was, was,-5.27945613861084,"[('James', -8.642207145690918), (' ch', -10.794743537902832), ('atted', -4.739531517028809), (' with', -0.5434371829032898), (' the', -2.578542470932007), (' analyst', -10.163162231445312), (' of', -4.552793025970459), (' the', -1.4070487022399902), (' vendors', -12.04895305633545), (' who', -3.159546375274658), (' was', -5.27945613861084)]"
103,26,thank,IC,low,pl,James thanked the analyst of the vendors who were, were,-3.2336108684539795,"[('James', -8.642207145690918), (' thanked', -14.782702445983887), (' the', -2.1086814403533936), (' analyst', -9.773480415344238), (' of', -5.045787334442139), (' the', -0.6794437766075134), (' vendors', -12.866944313049316), (' who', -2.8684792518615723), (' were', -3.2336108684539795)]"
104,26,chat,nonIC,low,pl,James chatted with the analyst of the vendors who were, were,-3.1562716960906982,"[('James', -8.642207145690918), (' ch', -10.794743537902832), ('atted', -4.739531517028809), (' with', -0.5434371829032898), (' the', -2.578542470932007), (' analyst', -10.163162231445312), (' of', -4.552793025970459), (' the', -1.4070487022399902), (' vendors', -12.04895305633545), (' who', -3.159546375274658), (' were', -3.1562716960906982)]"
105,27,envy,IC,high,sg,Zoey envies the representative of the voters who is, is,-3.765475034713745,"[('Z', -7.610641956329346), ('o', -3.76591157913208), ('ey', -2.2497174739837646), (' env', -16.033058166503906), ('ies', -0.6867454648017883), (' the', -2.1371192932128906), (' representative', -14.835653305053711), (' of', -1.697614073753357), (' the', -1.0426607131958008), (' voters', -9.898367881774902), (' who', -1.6908961534500122), (' is', -3.765475034713745)]"
106,27,resemble,nonIC,high,sg,Zoey resembles the representative of the voters who is, is,-4.979159355163574,"[('Z', -7.610641956329346), ('o', -3.76591157913208), ('ey', -2.2497174739837646), (' resembles', -12.159564018249512), (' the', -1.8778010606765747), (' representative', -12.579354286193848), (' of', -0.8614309430122375), (' the', -0.9040284752845764), (' voters', -12.256738662719727), (' who', -2.4973082542419434), (' is', -4.979159355163574)]"
107,27,envy,IC,low,pl,Zoey envies the representative of the voters who are, are,-2.616347074508667,"[('Z', -7.610641956329346), ('o', -3.76591157913208), ('ey', -2.2497174739837646), (' env', -16.033058166503906), ('ies', -0.6867454648017883), (' the', -2.1371192932128906), (' representative', -14.835653305053711), (' of', -1.697614073753357), (' the', -1.0426607131958008), (' voters', -9.898367881774902), (' who', -1.6908961534500122), (' are', -2.616347074508667)]"
108,27,resemble,nonIC,low,pl,Zoey resembles the representative of the voters who are, are,-2.537411689758301,"[('Z', -7.610641956329346), ('o', -3.76591157913208), ('ey', -2.2497174739837646), (' resembles', -12.159564018249512), (' the', -1.8778010606765747), (' representative', -12.579354286193848), (' of', -0.8614309430122375), (' the', -0.9040284752845764), (' voters', -12.256738662719727), (' who', -2.4973082542419434), (' are', -2.537411689758301)]"
109,28,value,IC,high,sg,Stephen values the accountant of the investors who is, is,-4.69272518157959,"[('Stephen', -9.671680450439453), (' values', -14.680547714233398), (' the', -1.6458731889724731), (' accountant', -12.626611709594727), (' of', -6.326871871948242), (' the', -1.3828016519546509), (' investors', -11.119153022766113), (' who', -2.810479164123535), (' is', -4.69272518157959)]"
110,28,meet,nonIC,high,sg,Stephen met the accountant of the investors who is, is,-6.69246768951416,"[('Stephen', -9.671680450439453), (' met', -10.263233184814453), (' the', -3.0875015258789062), (' accountant', -10.046488761901855), (' of', -3.6595327854156494), (' the', -1.3085030317306519), (' investors', -9.786221504211426), (' who', -1.8771028518676758), (' is', -6.69246768951416)]"
111,28,value,IC,low,pl,Stephen values the accountant of the investors who are, are,-2.0204780101776123,"[('Stephen', -9.671680450439453), (' values', -14.680547714233398), (' the', -1.6458731889724731), (' accountant', -12.626611709594727), (' of', -6.326871871948242), (' the', -1.3828016519546509), (' investors', -11.119153022766113), (' who', -2.810479164123535), (' are', -2.0204780101776123)]"
112,28,meet,nonIC,low,pl,Stephen met the accountant of the investors who are, are,-3.23931622505188,"[('Stephen', -9.671680450439453), (' met', -10.263233184814453), (' the', -3.0875015258789062), (' accountant', -10.046488761901855), (' of', -3.6595327854156494), (' the', -1.3085030317306519), (' investors', -9.786221504211426), (' who', -1.8771028518676758), (' are', -3.23931622505188)]"
113,29,fear,IC,high,sg,Liz fears the lawyer of the actors who is, is,-5.795008659362793,"[('L', -6.079422473907471), ('iz', -4.936002731323242), (' fears', -10.96385383605957), (' the', -2.57283878326416), (' lawyer', -10.241369247436523), (' of', -5.456470489501953), (' the', -1.0677489042282104), (' actors', -10.365760803222656), (' who', -2.021552562713623), (' is', -5.795008659362793)]"
114,29,recognize,nonIC,high,sg,Liz recognizes the lawyer of the actors who is, is,-5.145514965057373,"[('L', -6.079422473907471), ('iz', -4.936002731323242), (' recognizes', -12.5225191116333), (' the', -1.4832763671875), (' lawyer', -11.685569763183594), (' of', -5.454090118408203), (' the', -0.6127083897590637), (' actors', -12.50307846069336), (' who', -2.9068660736083984), (' is', -5.145514965057373)]"
115,29,fear,IC,low,pl,Liz fears the lawyer of the actors who are, are,-2.4992740154266357,"[('L', -6.079422473907471), ('iz', -4.936002731323242), (' fears', -10.96385383605957), (' the', -2.57283878326416), (' lawyer', -10.241369247436523), (' of', -5.456470489501953), (' the', -1.0677489042282104), (' actors', -10.365760803222656), (' who', -2.021552562713623), (' are', -2.4992740154266357)]"
116,29,recognize,nonIC,low,pl,Liz recognizes the lawyer of the actors who are, are,-2.0466151237487793,"[('L', -6.079422473907471), ('iz', -4.936002731323242), (' recognizes', -12.5225191116333), (' the', -1.4832763671875), (' lawyer', -11.685569763183594), (' of', -5.454090118408203), (' the', -0.6127083897590637), (' actors', -12.50307846069336), (' who', -2.9068660736083984), (' are', -2.0466151237487793)]"
117,30,notice,IC,high,sg,Jan noticed the son of the scientists who was, was,-4.189023017883301,"[('Jan', -9.159347534179688), (' noticed', -10.868102073669434), (' the', -2.4813108444213867), (' son', -9.463811874389648), (' of', -2.054245710372925), (' the', -1.6678504943847656), (' scientists', -11.265436172485352), (' who', -2.6457364559173584), (' was', -4.189023017883301)]"
118,30,jog,nonIC,high,sg,Jan jogged with the son of the scientists who was, was,-5.065251350402832,"[('Jan', -9.159347534179688), (' jog', -15.482892036437988), ('ged', -3.515730619430542), (' with', -3.8521816730499268), (' the', -2.4914655685424805), (' son', -7.031767845153809), (' of', -1.7941895723342896), (' the', -1.5222363471984863), (' scientists', -11.477259635925293), (' who', -2.771014928817749), (' was', -5.065251350402832)]"
119,30,notice,IC,low,pl,Jan noticed the son of the scientists who were, were,-2.357163429260254,"[('Jan', -9.159347534179688), (' noticed', -10.868102073669434), (' the', -2.4813108444213867), (' son', -9.463811874389648), (' of', -2.054245710372925), (' the', -1.6678504943847656), (' scientists', -11.265436172485352), (' who', -2.6457364559173584), (' were', -2.357163429260254)]"
120,30,jog,nonIC,low,pl,Jan jogged with the son of the scientists who were, were,-2.6402804851531982,"[('Jan', -9.159347534179688), (' jog', -15.482892036437988), ('ged', -3.515730619430542), (' with', -3.8521816730499268), (' the', -2.4914655685424805), (' son', -7.031767845153809), (' of', -1.7941895723342896), (' the', -1.5222363471984863), (' scientists', -11.477259635925293), (' who', -2.771014928817749), (' were', -2.6402804851531982)]"
121,31,praise,IC,high,pl,Luke praised the tenants of the landlord who were, were,-2.3514463901519775,"[('Luke', -10.40070915222168), (' praised', -12.803722381591797), (' the', -1.9586431980133057), (' tenants', -9.864355087280273), (' of', -0.9353523850440979), (' the', -1.0148868560791016), (' landlord', -8.157958984375), (' who', -2.546398639678955), (' were', -2.3514463901519775)]"
122,31,carpool,nonIC,high,pl,Luke carpooled with the tenants of the landlord who were, were,-3.191591262817383,"[('Luke', -10.40070915222168), (' carp', -13.41148567199707), ('ooled', -8.113728523254395), (' with', -0.6861056685447693), (' the', -3.576127529144287), (' tenants', -10.930312156677246), (' of', -1.917184829711914), (' the', -1.361276626586914), (' landlord', -7.506317615509033), (' who', -3.0102663040161133), (' were', -3.191591262817383)]"
123,31,praise,IC,low,sg,Luke praised the tenants of the landlord who was, was,-4.3570098876953125,"[('Luke', -10.40070915222168), (' praised', -12.803722381591797), (' the', -1.9586431980133057), (' tenants', -9.864355087280273), (' of', -0.9353523850440979), (' the', -1.0148868560791016), (' landlord', -8.157958984375), (' who', -2.546398639678955), (' was', -4.3570098876953125)]"
124,31,carpool,nonIC,low,sg,Luke carpooled with the tenants of the landlord who was, was,-2.0663909912109375,"[('Luke', -10.40070915222168), (' carp', -13.41148567199707), ('ooled', -8.113728523254395), (' with', -0.6861056685447693), (' the', -3.576127529144287), (' tenants', -10.930312156677246), (' of', -1.917184829711914), (' the', -1.361276626586914), (' landlord', -7.506317615509033), (' who', -3.0102663040161133), (' was', -2.0663909912109375)]"
125,32,hate,IC,high,pl,Karen hates the followers of the leader who are, are,-3.8651769161224365,"[('Karen', -10.473258972167969), (' hates', -11.607805252075195), (' the', -2.257169008255005), (' followers', -13.760076522827148), (' of', -1.321097493171692), (' the', -1.7587339878082275), (' leader', -5.737000465393066), (' who', -2.207514762878418), (' are', -3.8651769161224365)]"
126,32,know,nonIC,high,pl,Karen knows the follwers of the leader who are, are,-4.553947448730469,"[('Karen', -10.473258972167969), (' knows', -8.500324249267578), (' the', -2.413975238800049), (' foll', -13.63386344909668), ('wers', -3.9459543228149414), (' of', -0.7940053343772888), (' the', -1.53443443775177), (' leader', -9.980386734008789), (' who', -4.140484809875488), (' are', -4.553947448730469)]"
127,32,hate,IC,low,sg,Karen hates the followers of the leader who is, is,-2.5583951473236084,"[('Karen', -10.473258972167969), (' hates', -11.607805252075195), (' the', -2.257169008255005), (' followers', -13.760076522827148), (' of', -1.321097493171692), (' the', -1.7587339878082275), (' leader', -5.737000465393066), (' who', -2.207514762878418), (' is', -2.5583951473236084)]"
128,32,know,nonIC,low,sg,Karen knows the follwers of the leader who is, is,-2.1570684909820557,"[('Karen', -10.473258972167969), (' knows', -8.500324249267578), (' the', -2.413975238800049), (' foll', -13.63386344909668), ('wers', -3.9459543228149414), (' of', -0.7940053343772888), (' the', -1.53443443775177), (' leader', -9.980386734008789), (' who', -4.140484809875488), (' is', -2.1570684909820557)]"
129,33,blame,IC,high,pl,Jack blamed the trainees of the craftsman who were, were,-2.7792749404907227,"[('Jack', -9.425745010375977), (' blamed', -14.189029693603516), (' the', -2.0582711696624756), (' train', -7.4387431144714355), ('ees', -5.885915756225586), (' of', -4.6248064041137695), (' the', -1.2723122835159302), (' crafts', -10.878057479858398), ('man', -0.6956601738929749), (' who', -2.410473585128784), (' were', -2.7792749404907227)]"
130,33,gossip,nonIC,high,pl,Jack gossiped with the trainees of the craftsman who were, were,-2.4501278400421143,"[('Jack', -9.425745010375977), (' g', -11.308735847473145), ('oss', -5.383639335632324), ('iped', -8.887925148010254), (' with', -1.4543300867080688), (' the', -2.488461494445801), (' train', -8.987750053405762), ('ees', -2.573448896408081), (' of', -4.27406120300293), (' the', -1.0418739318847656), (' crafts', -10.967440605163574), ('man', -0.9609543085098267), (' who', -3.0442802906036377), (' were', -2.4501278400421143)]"
131,33,blame,IC,low,sg,Jack blamed the trainees of the craftsman who was, was,-2.823899269104004,"[('Jack', -9.425745010375977), (' blamed', -14.189029693603516), (' the', -2.0582711696624756), (' train', -7.4387431144714355), ('ees', -5.885915756225586), (' of', -4.6248064041137695), (' the', -1.2723122835159302), (' crafts', -10.878057479858398), ('man', -0.6956601738929749), (' who', -2.410473585128784), (' was', -2.823899269104004)]"
132,33,gossip,nonIC,low,sg,Jack gossiped with the trainees of the craftsman who was, was,-2.0704433917999268,"[('Jack', -9.425745010375977), (' g', -11.308735847473145), ('oss', -5.383639335632324), ('iped', -8.887925148010254), (' with', -1.4543300867080688), (' the', -2.488461494445801), (' train', -8.987750053405762), ('ees', -2.573448896408081), (' of', -4.27406120300293), (' the', -1.0418739318847656), (' crafts', -10.967440605163574), ('man', -0.9609543085098267), (' who', -3.0442802906036377), (' was', -2.0704433917999268)]"
133,34,help,IC,high,pl,Sophia helped the students of the professor who were, were,-5.28911018371582,"[('Soph', -10.436531066894531), ('ia', -1.4881751537322998), (' helped', -8.974489212036133), (' the', -3.572572708129883), (' students', -4.3184614181518555), (' of', -2.856820583343506), (' the', -1.3916597366333008), (' professor', -10.855411529541016), (' who', -4.285855770111084), (' were', -5.28911018371582)]"
134,34,wait,nonIC,high,pl,Sophia waited with the students of the professor who were, were,-5.2049360275268555,"[('Soph', -10.436531066894531), ('ia', -1.4881751537322998), (' waited', -11.05355453491211), (' with', -4.147686958312988), (' the', -2.20996356010437), (' students', -5.924635410308838), (' of', -3.389376163482666), (' the', -1.359046220779419), (' professor', -10.747354507446289), (' who', -2.9988272190093994), (' were', -5.2049360275268555)]"
135,34,help,IC,low,sg,Sophia helped the students of the professor who was, was,-1.880700945854187,"[('Soph', -10.436531066894531), ('ia', -1.4881751537322998), (' helped', -8.974489212036133), (' the', -3.572572708129883), (' students', -4.3184614181518555), (' of', -2.856820583343506), (' the', -1.3916597366333008), (' professor', -10.855411529541016), (' who', -4.285855770111084), (' was', -1.880700945854187)]"
136,34,wait,nonIC,low,sg,Sophia waited with the students of the professor who was, was,-1.4259920120239258,"[('Soph', -10.436531066894531), ('ia', -1.4881751537322998), (' waited', -11.05355453491211), (' with', -4.147686958312988), (' the', -2.20996356010437), (' students', -5.924635410308838), (' of', -3.389376163482666), (' the', -1.359046220779419), (' professor', -10.747354507446289), (' who', -2.9988272190093994), (' was', -1.4259920120239258)]"
137,35,reproach,IC,high,pl,Noah reproached the assistants of the technician who were, were,-4.189260482788086,"[('No', -7.338672161102295), ('ah', -4.064788818359375), (' repro', -16.125473022460938), ('ached', -1.9155430793762207), (' the', -1.9851224422454834), (' assistants', -13.470044136047363), (' of', -1.2623933553695679), (' the', -1.200168490409851), (' technician', -14.524044036865234), (' who', -2.399925470352173), (' were', -4.189260482788086)]"
138,35,visit,nonIC,high,pl,Noah visited the assistants of the technician who were, were,-4.436461925506592,"[('No', -7.338672161102295), ('ah', -4.064788818359375), (' visited', -9.216639518737793), (' the', -1.4653626680374146), (' assistants', -14.555825233459473), (' of', -1.5062004327774048), (' the', -0.9531247615814209), (' technician', -10.550451278686523), (' who', -2.4330058097839355), (' were', -4.436461925506592)]"
139,35,reproach,IC,low,sg,Noah reproached the assistants of the technician who was, was,-1.7423326969146729,"[('No', -7.338672161102295), ('ah', -4.064788818359375), (' repro', -16.125473022460938), ('ached', -1.9155430793762207), (' the', -1.9851224422454834), (' assistants', -13.470044136047363), (' of', -1.2623933553695679), (' the', -1.200168490409851), (' technician', -14.524044036865234), (' who', -2.399925470352173), (' was', -1.7423326969146729)]"
140,35,visit,nonIC,low,sg,Noah visited the assistants of the technician who was, was,-2.35365629196167,"[('No', -7.338672161102295), ('ah', -4.064788818359375), (' visited', -9.216639518737793), (' the', -1.4653626680374146), (' assistants', -14.555825233459473), (' of', -1.5062004327774048), (' the', -0.9531247615814209), (' technician', -10.550451278686523), (' who', -2.4330058097839355), (' was', -2.35365629196167)]"
141,36,pacify,IC,high,pl,Charlotte pacified the patients of the therapist who were, were,-3.2303659915924072,"[('Charlotte', -10.501594543457031), (' pac', -15.185545921325684), ('ified', -3.6631269454956055), (' the', -2.8435862064361572), (' patients', -9.476006507873535), (' of', -2.8284249305725098), (' the', -1.680078387260437), (' therapist', -12.67625617980957), (' who', -2.6190342903137207), (' were', -3.2303659915924072)]"
142,36,greet,nonIC,high,pl,Charlotte greeted the patients of the therapist who were, were,-2.9917032718658447,"[('Charlotte', -10.501594543457031), (' greeted', -12.904810905456543), (' the', -2.809243679046631), (' patients', -7.893991947174072), (' of', -4.104706764221191), (' the', -1.4117945432662964), (' therapist', -12.692338943481445), (' who', -2.8954806327819824), (' were', -2.9917032718658447)]"
