sent_id,item_id,verb,sentence_type,np_order,target,option_1,option_2,answer_option,prompt_1,prompt_2,prompt
72,36,greet,nonIC,high_pl,Charlotte greeted the patients of the therapist who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Charlotte greeted the patients of the therapist who ___. Options: 1) was, 2) were. Answer: ","Sentence: Charlotte greeted the patients of the therapist who ___. Options: 1) were, 2) was. Answer: ","Sentence: Charlotte greeted the patients of the therapist who ___. Options: 1) were, 2) was. Answer: "
73,37,detest,IC,high_pl,Evelyn detests the supporters of the candidate who ___. ,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Evelyn detests the supporters of the candidate who ___.  Options: 1) has, 2) have. Answer: ","Sentence: Evelyn detests the supporters of the candidate who ___.  Options: 1) have, 2) has. Answer: ","Sentence: Evelyn detests the supporters of the candidate who ___.  Options: 1) has, 2) have. Answer: "
74,37,work,nonIC,high_pl,Evelyn works with the supporters of the candidate who ___.,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Evelyn works with the supporters of the candidate who ___. Options: 1) has, 2) have. Answer: ","Sentence: Evelyn works with the supporters of the candidate who ___. Options: 1) have, 2) has. Answer: ","Sentence: Evelyn works with the supporters of the candidate who ___. Options: 1) has, 2) have. Answer: "
75,38,comfort,IC,high_pl,Ken comforted the children of the actress who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Ken comforted the children of the actress who ___. Options: 1) was, 2) were. Answer: ","Sentence: Ken comforted the children of the actress who ___. Options: 1) were, 2) was. Answer: ","Sentence: Ken comforted the children of the actress who ___. Options: 1) were, 2) was. Answer: "
76,38,babysit,nonIC,high_pl,Ken babysat the children of the actress who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Ken babysat the children of the actress who ___. Options: 1) was, 2) were. Answer: ","Sentence: Ken babysat the children of the actress who ___. Options: 1) were, 2) was. Answer: ","Sentence: Ken babysat the children of the actress who ___. Options: 1) were, 2) was. Answer: "
77,39,congratulate,IC,high_pl,Henry congratulated the architects of the homeowner who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Henry congratulated the architects of the homeowner who ___. Options: 1) was, 2) were. Answer: ","Sentence: Henry congratulated the architects of the homeowner who ___. Options: 1) were, 2) was. Answer: ","Sentence: Henry congratulated the architects of the homeowner who ___. Options: 1) was, 2) were. Answer: "
78,39,count,nonIC,high_pl,Henry counted the architects of the homeowner who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Henry counted the architects of the homeowner who ___. Options: 1) was, 2) were. Answer: ","Sentence: Henry counted the architects of the homeowner who ___. Options: 1) were, 2) was. Answer: ","Sentence: Henry counted the architects of the homeowner who ___. Options: 1) was, 2) were. Answer: "
79,40,mock,IC,high_pl,Olivia mocked the apprentices of the carpenter who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Olivia mocked the apprentices of the carpenter who ___. Options: 1) was, 2) were. Answer: ","Sentence: Olivia mocked the apprentices of the carpenter who ___. Options: 1) were, 2) was. Answer: ","Sentence: Olivia mocked the apprentices of the carpenter who ___. Options: 1) were, 2) was. Answer: "
80,40,talk,nonIC,high_pl,Olivia talked to the apprentices of the carpenter who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Olivia talked to the apprentices of the carpenter who ___. Options: 1) was, 2) were. Answer: ","Sentence: Olivia talked to the apprentices of the carpenter who ___. Options: 1) were, 2) was. Answer: ","Sentence: Olivia talked to the apprentices of the carpenter who ___. Options: 1) were, 2) was. Answer: "
81,41,scold,IC,high_pl,Ashley scolded the children of the historian who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Ashley scolded the children of the historian who ___. Options: 1) was, 2) were. Answer: ","Sentence: Ashley scolded the children of the historian who ___. Options: 1) were, 2) was. Answer: ","Sentence: Ashley scolded the children of the historian who ___. Options: 1) was, 2) were. Answer: "
82,41,babysit,nonIC,high_pl,Ashley studied with the children of the historian who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Ashley studied with the children of the historian who ___. Options: 1) was, 2) were. Answer: ","Sentence: Ashley studied with the children of the historian who ___. Options: 1) were, 2) was. Answer: ","Sentence: Ashley studied with the children of the historian who ___. Options: 1) was, 2) were. Answer: "
83,42,stare,IC,high_pl,Daniel stared at the clients of the designer who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Daniel stared at the clients of the designer who ___. Options: 1) was, 2) were. Answer: ","Sentence: Daniel stared at the clients of the designer who ___. Options: 1) were, 2) was. Answer: ","Sentence: Daniel stared at the clients of the designer who ___. Options: 1) were, 2) was. Answer: "
84,42,count,nonIC,high_pl,Daniel counted the clients of the designer who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Daniel counted the clients of the designer who ___. Options: 1) was, 2) were. Answer: ","Sentence: Daniel counted the clients of the designer who ___. Options: 1) were, 2) was. Answer: ","Sentence: Daniel counted the clients of the designer who ___. Options: 1) were, 2) was. Answer: "
85,43,assist,IC,high_pl,Megan assisted the photographers of the bride who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Megan assisted the photographers of the bride who ___. Options: 1) was, 2) were. Answer: ","Sentence: Megan assisted the photographers of the bride who ___. Options: 1) were, 2) was. Answer: ","Sentence: Megan assisted the photographers of the bride who ___. Options: 1) was, 2) were. Answer: "
86,43,joke,nonIC,high_pl,Megan joked with the photographers of the bride who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Megan joked with the photographers of the bride who ___. Options: 1) was, 2) were. Answer: ","Sentence: Megan joked with the photographers of the bride who ___. Options: 1) were, 2) was. Answer: ","Sentence: Megan joked with the photographers of the bride who ___. Options: 1) was, 2) were. Answer: "
87,44,trust,IC,high_pl,Lucas trusted the instructors of the pilot who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Lucas trusted the instructors of the pilot who ___. Options: 1) was, 2) were. Answer: ","Sentence: Lucas trusted the instructors of the pilot who ___. Options: 1) were, 2) was. Answer: ","Sentence: Lucas trusted the instructors of the pilot who ___. Options: 1) were, 2) was. Answer: "
88,44,wait,nonIC,high_pl,Lucas waited with the instructors of the pilot who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Lucas waited with the instructors of the pilot who ___. Options: 1) was, 2) were. Answer: ","Sentence: Lucas waited with the instructors of the pilot who ___. Options: 1) were, 2) was. Answer: ","Sentence: Lucas waited with the instructors of the pilot who ___. Options: 1) were, 2) was. Answer: "
89,45,correct,IC,high_pl,Michelle corrected the advisers of the officer who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Michelle corrected the advisers of the officer who ___. Options: 1) was, 2) were. Answer: ","Sentence: Michelle corrected the advisers of the officer who ___. Options: 1) were, 2) was. Answer: ","Sentence: Michelle corrected the advisers of the officer who ___. Options: 1) was, 2) were. Answer: "
90,45,stand,nonIC,high_pl,Michelle stood near the advisers of the officer who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Michelle stood near the advisers of the officer who ___. Options: 1) was, 2) were. Answer: ","Sentence: Michelle stood near the advisers of the officer who ___. Options: 1) were, 2) was. Answer: ","Sentence: Michelle stood near the advisers of the officer who ___. Options: 1) was, 2) were. Answer: "
91,46,comfort,IC,high_pl,Oliver comforted the advisees of the specialist who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Oliver comforted the advisees of the specialist who ___. Options: 1) was, 2) were. Answer: ","Sentence: Oliver comforted the advisees of the specialist who ___. Options: 1) were, 2) was. Answer: ","Sentence: Oliver comforted the advisees of the specialist who ___. Options: 1) were, 2) was. Answer: "
92,46,gossip,nonIC,high_pl,Oliver gossiped with the advisees of the specialist who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Oliver gossiped with the advisees of the specialist who ___. Options: 1) was, 2) were. Answer: ","Sentence: Oliver gossiped with the advisees of the specialist who ___. Options: 1) were, 2) was. Answer: ","Sentence: Oliver gossiped with the advisees of the specialist who ___. Options: 1) were, 2) was. Answer: "
93,47,envy,IC,high_pl,Rebecca envies the contractors of the homeowner who ___.,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Rebecca envies the contractors of the homeowner who ___. Options: 1) has, 2) have. Answer: ","Sentence: Rebecca envies the contractors of the homeowner who ___. Options: 1) have, 2) has. Answer: ","Sentence: Rebecca envies the contractors of the homeowner who ___. Options: 1) has, 2) have. Answer: "
94,47,recognize,nonIC,high_pl,Rebecca recognizes the contractors of the homeowner who ___.,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Rebecca recognizes the contractors of the homeowner who ___. Options: 1) has, 2) have. Answer: ","Sentence: Rebecca recognizes the contractors of the homeowner who ___. Options: 1) have, 2) has. Answer: ","Sentence: Rebecca recognizes the contractors of the homeowner who ___. Options: 1) has, 2) have. Answer: "
95,48,value,IC,high_pl,Sebastian values the caretakers of the patient who ___.,"1) is, 2) are","1) are, 2) is","1) are, 2) is","Sentence: Sebastian values the caretakers of the patient who ___. Options: 1) is, 2) are. Answer: ","Sentence: Sebastian values the caretakers of the patient who ___. Options: 1) are, 2) is. Answer: ","Sentence: Sebastian values the caretakers of the patient who ___. Options: 1) are, 2) is. Answer: "
96,48,jog,nonIC,high_pl,Sebastian jogs with the caretakers of the patient who ___.,"1) is, 2) are","1) are, 2) is","1) are, 2) is","Sentence: Sebastian jogs with the caretakers of the patient who ___. Options: 1) is, 2) are. Answer: ","Sentence: Sebastian jogs with the caretakers of the patient who ___. Options: 1) are, 2) is. Answer: ","Sentence: Sebastian jogs with the caretakers of the patient who ___. Options: 1) are, 2) is. Answer: "
97,49,fear,IC,high_pl,Emma fears the colleagues of the architect who ___.,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Emma fears the colleagues of the architect who ___. Options: 1) has, 2) have. Answer: ","Sentence: Emma fears the colleagues of the architect who ___. Options: 1) have, 2) has. Answer: ","Sentence: Emma fears the colleagues of the architect who ___. Options: 1) has, 2) have. Answer: "
98,49,know,nonIC,high_pl,Emma knows the colleagues of the architect who ___.,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Emma knows the colleagues of the architect who ___. Options: 1) has, 2) have. Answer: ","Sentence: Emma knows the colleagues of the architect who ___. Options: 1) have, 2) has. Answer: ","Sentence: Emma knows the colleagues of the architect who ___. Options: 1) has, 2) have. Answer: "
99,50,notice,IC,high_pl,Ryan noticed the consultants of the entrepreneur who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Ryan noticed the consultants of the entrepreneur who ___. Options: 1) was, 2) were. Answer: ","Sentence: Ryan noticed the consultants of the entrepreneur who ___. Options: 1) were, 2) was. Answer: ","Sentence: Ryan noticed the consultants of the entrepreneur who ___. Options: 1) were, 2) was. Answer: "
100,50,meet,nonIC,high_pl,Ryan met the consultants of the entrepreneur who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Ryan met the consultants of the entrepreneur who ___. Options: 1) was, 2) were. Answer: ","Sentence: Ryan met the consultants of the entrepreneur who ___. Options: 1) were, 2) was. Answer: ","Sentence: Ryan met the consultants of the entrepreneur who ___. Options: 1) were, 2) was. Answer: "
101,51,praise,IC,high_sg,Amy praised the guardian of the children who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Amy praised the guardian of the children who ___. Options: 1) was, 2) were. Answer: ","Sentence: Amy praised the guardian of the children who ___. Options: 1) were, 2) was. Answer: ","Sentence: Amy praised the guardian of the children who ___. Options: 1) was, 2) were. Answer: "
102,51,talk,nonIC,high_sg,Amy talked to the guardian of the children who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Amy talked to the guardian of the children who ___. Options: 1) was, 2) were. Answer: ","Sentence: Amy talked to the guardian of the children who ___. Options: 1) were, 2) was. Answer: ","Sentence: Amy talked to the guardian of the children who ___. Options: 1) was, 2) were. Answer: "
103,52,hate,IC,high_sg,Jonathon hates the supervisor of the artisans who ___.,"1) is, 2) are","1) are, 2) is","1) are, 2) is","Sentence: Jonathon hates the supervisor of the artisans who ___. Options: 1) is, 2) are. Answer: ","Sentence: Jonathon hates the supervisor of the artisans who ___. Options: 1) are, 2) is. Answer: ","Sentence: Jonathon hates the supervisor of the artisans who ___. Options: 1) are, 2) is. Answer: "
104,52,live,nonIC,high_sg,Jonathon lives next to the supervisor of the artisans who ___.,"1) is, 2) are","1) are, 2) is","1) are, 2) is","Sentence: Jonathon lives next to the supervisor of the artisans who ___. Options: 1) is, 2) are. Answer: ","Sentence: Jonathon lives next to the supervisor of the artisans who ___. Options: 1) are, 2) is. Answer: ","Sentence: Jonathon lives next to the supervisor of the artisans who ___. Options: 1) are, 2) is. Answer: "
105,53,blame,IC,high_sg,Natalie blamed the principal of the teachers who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Natalie blamed the principal of the teachers who ___. Options: 1) was, 2) were. Answer: ","Sentence: Natalie blamed the principal of the teachers who ___. Options: 1) were, 2) was. Answer: ","Sentence: Natalie blamed the principal of the teachers who ___. Options: 1) was, 2) were. Answer: "
106,53,resemble,nonIC,high_sg,Natalie resembled the principal of the teachers who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Natalie resembled the principal of the teachers who ___. Options: 1) was, 2) were. Answer: ","Sentence: Natalie resembled the principal of the teachers who ___. Options: 1) were, 2) was. Answer: ","Sentence: Natalie resembled the principal of the teachers who ___. Options: 1) was, 2) were. Answer: "
107,54,help,IC,high_sg,Alex helped the counselor of the highschoolers who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Alex helped the counselor of the highschoolers who ___. Options: 1) was, 2) were. Answer: ","Sentence: Alex helped the counselor of the highschoolers who ___. Options: 1) were, 2) was. Answer: ","Sentence: Alex helped the counselor of the highschoolers who ___. Options: 1) were, 2) was. Answer: "
108,54,greet,nonIC,high_sg,Alex greeted the counselor of the highschoolers who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Alex greeted the counselor of the highschoolers who ___. Options: 1) was, 2) were. Answer: ","Sentence: Alex greeted the counselor of the highschoolers who ___. Options: 1) were, 2) was. Answer: ","Sentence: Alex greeted the counselor of the highschoolers who ___. Options: 1) were, 2) was. Answer: "
109,55,reproach,IC,high_sg,Tiffany reproached the intern of the executives who ___. ,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Tiffany reproached the intern of the executives who ___.  Options: 1) was, 2) were. Answer: ","Sentence: Tiffany reproached the intern of the executives who ___.  Options: 1) were, 2) was. Answer: ","Sentence: Tiffany reproached the intern of the executives who ___.  Options: 1) was, 2) were. Answer: "
110,55,study,nonIC,high_sg,Tiffany studied with the intern of the executives who ___.,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Tiffany studied with the intern of the executives who ___. Options: 1) was, 2) were. Answer: ","Sentence: Tiffany studied with the intern of the executives who ___. Options: 1) were, 2) was. Answer: ","Sentence: Tiffany studied with the intern of the executives who ___. Options: 1) was, 2) were. Answer: "
111,56,pacify,IC,high_sg,Samuel pacified the neighbor of the musicians who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Samuel pacified the neighbor of the musicians who ___. Options: 1) was, 2) were. Answer: ","Sentence: Samuel pacified the neighbor of the musicians who ___. Options: 1) were, 2) was. Answer: ","Sentence: Samuel pacified the neighbor of the musicians who ___. Options: 1) were, 2) was. Answer: "
112,56,chat,nonIC,high_sg,Samuel chatted with the neighbor of the musicians who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Samuel chatted with the neighbor of the musicians who ___. Options: 1) was, 2) were. Answer: ","Sentence: Samuel chatted with the neighbor of the musicians who ___. Options: 1) were, 2) was. Answer: ","Sentence: Samuel chatted with the neighbor of the musicians who ___. Options: 1) were, 2) was. Answer: "
113,57,detest,IC,high_sg,Julie detests the boss of the administrators who ___.,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Julie detests the boss of the administrators who ___. Options: 1) has, 2) have. Answer: ","Sentence: Julie detests the boss of the administrators who ___. Options: 1) have, 2) has. Answer: ","Sentence: Julie detests the boss of the administrators who ___. Options: 1) has, 2) have. Answer: "
114,57,visit,nonIC,high_sg,Julie visits the boss of the administrators who ___.,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Julie visits the boss of the administrators who ___. Options: 1) has, 2) have. Answer: ","Sentence: Julie visits the boss of the administrators who ___. Options: 1) have, 2) has. Answer: ","Sentence: Julie visits the boss of the administrators who ___. Options: 1) has, 2) have. Answer: "
115,58,thank,IC,high_sg,Ethan thanked the host of the guests who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Ethan thanked the host of the guests who ___. Options: 1) was, 2) were. Answer: ","Sentence: Ethan thanked the host of the guests who ___. Options: 1) were, 2) was. Answer: ","Sentence: Ethan thanked the host of the guests who ___. Options: 1) were, 2) was. Answer: "
116,58,ran,nonIC,high_sg,Ethan ran into the host of the guests who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Ethan ran into the host of the guests who ___. Options: 1) was, 2) were. Answer: ","Sentence: Ethan ran into the host of the guests who ___. Options: 1) were, 2) was. Answer: ","Sentence: Ethan ran into the host of the guests who ___. Options: 1) were, 2) was. Answer: "
117,59,congratulate,IC,high_sg,Grace congratulates the director of the staff members who ___.,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Grace congratulates the director of the staff members who ___. Options: 1) has, 2) have. Answer: ","Sentence: Grace congratulates the director of the staff members who ___. Options: 1) have, 2) has. Answer: ","Sentence: Grace congratulates the director of the staff members who ___. Options: 1) has, 2) have. Answer: "
118,59,work,nonIC,high_sg,Grace works with the director of the staff members who ___.,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Grace works with the director of the staff members who ___. Options: 1) has, 2) have. Answer: ","Sentence: Grace works with the director of the staff members who ___. Options: 1) have, 2) has. Answer: ","Sentence: Grace works with the director of the staff members who ___. Options: 1) has, 2) have. Answer: "
119,60,mock,IC,high_sg,Joseph mocked the trainer of the boxers who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Joseph mocked the trainer of the boxers who ___. Options: 1) was, 2) were. Answer: ","Sentence: Joseph mocked the trainer of the boxers who ___. Options: 1) were, 2) was. Answer: ","Sentence: Joseph mocked the trainer of the boxers who ___. Options: 1) were, 2) was. Answer: "
120,60,carpool,nonIC,high_sg,Joseph carpooled with the trainer of the boxers who ___.,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Joseph carpooled with the trainer of the boxers who ___. Options: 1) was, 2) were. Answer: ","Sentence: Joseph carpooled with the trainer of the boxers who ___. Options: 1) were, 2) was. Answer: ","Sentence: Joseph carpooled with the trainer of the boxers who ___. Options: 1) were, 2) was. Answer: "
